"Y" "X1" "X2" "X3" "X4" "X5"
4.3 9.23 51.6 11.6 42.6 620
4.3 8.3 57.2 6.8 83.8 167
6.3 9.74 54.4 11.4 76.1 221
4.6 9.68 57.8 16.7 79 186
4.1 9.35 53.8 15.9 80.9 833
6.4 11.62 53.9 25.5 99.2 133
4.2 9.06 52.8 6.9 75.9 134
4.2 7.53 42 23.1 98.9 95
3 11.2 45 7 78.9 130
2.7 8.34 56.9 8.1 74 107
5.6 8.95 53.7 18.9 122.8 147
2.9 8.86 51.3 9.5 87.5 100
4.5 9.61 52.4 6.9 87.2 487
5.5 8.37 50.7 15.1 84.8 115
3.5 8.03 54.2 24.3 87.3 97
2.6 9.76 53.2 6.9 80.1 64
2 8.93 56 6.2 72.5 95
4.8 9.84 62.2 12 82.3 600
2.1 8.02 55 3.8 46.5 91
5.5 11.08 50.2 18.6 63.6 387
3.7 7.58 56.7 20.8 88 97
4.5 8.28 48.1 26 101.8 108
6.1 13.59 54 24.2 111.7 312
5.5 7.63 52.1 11.6 61.1 197
1.7 8.09 56.9 7.6 56.9 92
4.6 10.16 54.2 8.4 51.5 831
4.1 10.47 53.2 5.7 69.1 196
5 10.33 55.8 21.2 104.3 266
4.4 8.88 55.8 14.1 76.8 237
2.5 8.54 56.1 27 82.5 98
7.6 11.41 61.1 16.6 97.9 535
5 9.78 52.3 17.6 95.9 270
4.5 10.05 52 36.7 87.5 184
5.3 8.15 54.9 12.3 79.8 99
2.9 7.91 52.8 11.9 79.5 477
4.1 7.13 55.7 9 39.6 279
4.4 7.7 56.9 12.2 67.9 129
1.6 8.82 58.2 3.8 51.7 80
3.5 7.94 49.5 6.2 92.3 195
5.2 9.84 53 17.7 72.6 210
5.2 9.53 51.5 15 65.7 298
5.3 9.77 50.2 15.7 89.7 154
5.3 11.77 54.1 17.3 56 196
3.4 10.42 58 8 59 119
5 7.78 45.5 20.9 71.6 489
4.9 10.23 53.2 9.9 77.9 752
6.6 13.95 65.9 15.6 133.5 356
5.8 9.5 49.3 42 70.9 98
2 7.08 52 12.3 56.4 87
4.9 11.07 53.2 28.5 122 768
